id,date_applied,company,role,track,score,source,url,status,last_contact,next_action,next_action_date,notes
bjak-ios-developer,2026-07-30,BJAK,iOS Developer,ios-developer,89,linkedin,https://www.linkedin.com/jobs/view/4437947712/,applied,2026-07-30,first follow-up,2026-08-06,three-stage process ends in a CEO interview
avelios-working-student-ios,2026-07-30,Avelios Medical,Working Student iOS Developer,ios-developer,84,linkedin,https://www.linkedin.com/jobs/view/4361382858/,rejected,2026-08-06,,,Munich and local. Werkstudent cap overridden. Rejected at application stage, CV and letter submitted.
dexter-health-ai-engineer,2026-07-30,Dexter Health,AI Engineer (LLM),ai-engineer,57,linkedin,https://www.linkedin.com/jobs/view/4437678771/,applied,2026-07-30,first follow-up,2026-08-06,"Long shot at 57/100, 200+ applicants, no confirmed funding"
kira-mobile-engineer,2026-07-30,Kira,Mobile Engineer - AI Finance Agent,ios-developer,69,linkedin,https://www.linkedin.com/jobs/view/4444892592/,applied,2026-07-30,first follow-up,2026-08-06,"Same employer as bjak-ios-developer, applied same day. Kira is BJAK's product brand. Skip decision overridden by Farrukh."
sumup-ios-mobile-platform,2026-07-30,SumUp,iOS Engineer - Mobile Platform,ios-developer,93,linkedin,https://www.linkedin.com/jobs/view/4395840684/,rejected,2026-08-03,,,Platform role. Highest score yet. Berlin office-first but their careers page also lists Cologne London Sofia. Rejected without a screen (inferred from tracker).
jobgether-mobile-engineer-ios,2026-07-31,Jobgether (unnamed partner),Mobile Engineer (iOS),ios-developer,85,linkedin,https://www.linkedin.com/jobs/view/4443204371/,applied,2026-07-31,first follow-up,2026-08-07,Fully remote Germany. Employer not named. Ask who the partner company is
arise-ios-app-developer,2026-08-01,Arise,iOS App Developer,ios-developer,84,linkedin,https://www.linkedin.com/jobs/view/4436600222/,applied,2026-08-01,first follow-up,2026-08-08,Research flags listing may be evergreen with sibling ads unchanged since 2020. Slow or absent response would not be surprising.
scalable-capital-junior-ios-engineer,2026-08-01,Scalable Capital,(Junior) iOS Engineer,ios-developer,60,linkedin,https://www.linkedin.com/jobs/view/4446044516/,applied,2026-08-01,first follow-up,2026-08-08,"Munich, no relocation needed. Score capped from raw 81. A Senior iOS req is open at the same company and was deliberately passed over, record kept at `jobs/inbox/scalable-capital-senior-ios-engineer.md` as a fallback."
annapurna-senior-ios-mobile-engineer,2026-08-01,Annapurna (unnamed client),Senior iOS Mobile Engineer - Conversational Platform,ios-developer,73,linkedin,https://www.linkedin.com/jobs/view/4442849272/,applied,2026-08-01,first follow-up,2026-08-08,"Berlin hybrid. 6-month contract, the first fixed-term posting in the pipeline. Recruitment agency, client not named, so Company fit was capped at 8/15 with no research brief possible. Posting asks 5+ years against roughly four."
payback-mobile-engineer-ios,2026-08-03,PAYBACK,Mobile Engineer - iOS (m/w/d),ios-developer,81,linkedin,https://www.linkedin.com/jobs/view/4393544393/,rejected,2026-08-12,,,Rejected at application stage, CV only.
